"filename", "language", "Markdown", "XML", "C++", "Ini", "C", "comment", "blank", "total"
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\auxil.h", "C++", 0, 0, 7, 0, 0, 9, 6, 22
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\colors.cpp", "C++", 0, 0, 7, 0, 0, 4, 8, 19
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\colors.h", "C++", 0, 0, 200, 0, 0, 28, 25, 253
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\error.h", "C++", 0, 0, 8, 0, 0, 5, 5, 18
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\image.cpp", "C++", 0, 0, 138, 0, 0, 4, 60, 202
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\image.h", "C++", 0, 0, 39, 0, 0, 18, 23, 80
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\jpeg\jcomapi.c", "C", 0, 0, 0, 0, 38, 40, 17, 95
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\jpeg\jconfig.h", "C++", 0, 0, 27, 0, 0, 4, 10, 41
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\jpeg\jcparam.c", "C", 0, 0, 0, 0, 366, 133, 76, 575
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\jpeg\jdapimin.c", "C", 0, 0, 0, 0, 231, 125, 51, 407
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\jpeg\jdapistd.c", "C", 0, 0, 0, 0, 155, 88, 34, 277
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\jpeg\jdatasrc.c", "C", 0, 0, 0, 0, 77, 104, 34, 215
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\jpeg\jdcoefct.c", "C", 0, 0, 0, 0, 509, 162, 68, 739
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\jpeg\jdcolor.c", "C", 0, 0, 0, 0, 226, 94, 52, 372
